Statement,In the code,Done,Explanation,,Note that the line indicated could have change with the modifications we have done,,,,, https://tools.ietf.org/html/draft-ietf-quic-transport-29
"
   Servers MUST ensure that replay of tokens is prevented or limited.
   For instance, servers might limit the time over which a token is
   accepted.  Tokens provided in NEW_TOKEN frames might need to allow
   longer validity periods.  Tokens MAY include additional information
   about clients to further narrow applicability or reuse.",New token not done,FALSE,,,,,,,,
8.3.  Initiating Path Validation,,,,,,,,,,
"   The endpoint MUST use unpredictable data in every PATH_CHALLENGE
   frame so that it can associate the peer's response with the
   corresponding PATH_CHALLENGE.",Unpredictable ? How to check it ?,FALSE,,,,,,,,
8.4.  Path Validation Responses,,,,,,,,,,
" On receiving a PATH_CHALLENGE frame, an endpoint MUST respond
   immediately by echoing the data contained in the PATH_CHALLENGE frame
   in a PATH_RESPONSE frame.
",immediately ?,FALSE,,,,,,,,
"   An endpoint MUST NOT send more than one PATH_RESPONSE frame in
   response to one PATH_CHALLENGE frame; see Section 13.3.  The peer is
   expected to send more PATH_CHALLENGE frames as necessary to evoke
   additional PATH_RESPONSE frames.",,FALSE,,,,,,,,
9.  Connection Migration,,,,,,,,,,
"   The design of QUIC relies on endpoints retaining a stable address for
   the duration of the handshake.  An endpoint MUST NOT initiate
   connection migration before the handshake is confirmed, as defined in
   section 4.1.2 of [QUIC-TLS].",In progress with alt client ,FALSE,,,,,,,,
"An endpoint also MUST NOT send packets from a different local
   address, actively initiating migration, if the peer sent the
   disable_active_migration transport parameter during the handshake.","When to trigger client migration ? 
At change of tuple adress/port
How to test migration without explicitely creating
a scenario where the implementation would fail ?",FALSE,,,,,,,,
"   An endpoint which has sent this transport parameter, but detects that
   a peer has nonetheless migrated to a different network MUST either
   drop the incoming packets on that path without generating a stateless
   reset or proceed with path validation and allow the peer to migrate.
   Generating a stateless reset or closing the connection would allow
   third parties in the network to cause connections to close by
   spoofing or otherwise manipulating observed traffic.",,FALSE,,,,,,,,
"   Not all changes of peer address are intentional, or active,
   migrations.  The peer could experience NAT rebinding: a change of
   address due to a middlebox, usually a NAT, allocating a new outgoing
   port or even a new outgoing IP address for a flow.  An endpoint MUST
   perform path validation (Section 8.2) if it detects any change to a
   peer's address, unless it has previously validated that address.","We perform migration and then how to test ?
How to know when eventually the endpoint decect
it and perform path validation ?",FALSE,,,,,,,,
"  This document limits migration of connections to new client
   addresses, except as described in Section 9.6.  Clients are
   responsible for initiating all migrations.  Servers do not send non-
   probing packets (see Section 9.1) toward a client address until they
   see a non-probing packet from that address.  If a client receives
   packets from an unknown server address, the client MUST discard these
   packets.","We could eventually check by sending some packet with 
random address but again how to know if there 
are discarded eventually ? 
We could check at the end of the test
 if we never receive ack for that packet ?",FALSE,,,,,,,,
9.3.  Responding to Connection Migration,,,,,,,,,,
"   Receiving a packet from a new peer address containing a non-probing
   frame indicates that the peer has migrated to that address. 
   In response to such a packet, an endpoint MUST start sending
   subsequent packets to the new peer address",,FALSE,,,,,,,,
"   and MUST initiate path
   validation (Section 8.2) to verify the peer's ownership of the
   unvalidated address.",,FALSE,,,,,,,,
" An endpoint MAY send data to an unvalidated peer address, but it MUST
   protect against potential attacks as described in Section 9.3.1 and
   Section 9.3.2.  An endpoint MAY skip validation of a peer address if
   that address has been seen recently.  In particular, if an endpoint
   returns to a previously-validated path after detecting some form of
   spurious migration, skipping address validation and restoring loss
   detection and congestion state can reduce the performance impact of
   the attack.",,FALSE,,,,,,,,
9.3.1.  Peer Address Spoofing,,FALSE,,,,,,,,
"As described in Section 9.3, an endpoint is required to validate a
   peer's new address to confirm the peer's possession of the new
   address.  Until a peer's address is deemed valid, an endpoint MUST
   limit the rate at which it sends data to this address.",,FALSE,,,,,,,,
" The endpoint
   MUST NOT send more than a minimum congestion window's worth of data
   per estimated round-trip time (kMinimumWindow, as defined in
   [QUIC-RECOVERY]).",,FALSE,,,,,,,,
9.3.2.  On-Path Address Spoofing,,,,,,,,,,
"   To protect the connection from failing due to such a spurious
   migration, an endpoint MUST revert to using the last validated peer
   address when validation of a new peer address fails.",,FALSE,,,,,,,,
" If an endpoint has no state about the last validated peer address, it
   MUST close the connection silently by discarding all connection
   state.  This results in new packets on the connection being handled
   generically.  For instance, an endpoint MAY send a stateless reset in
   response to any further incoming packets.",,FALSE,,,,,,,,
"9.3.3.  Off-Path Packet Forwarding",,,,,,,,,,
"   In response to an apparent migration, endpoints MUST validate the
   previously active path using a PATH_CHALLENGE frame.  This induces
   the sending of new packets on that path.  If the path is no longer
   viable, the validation attempt will time out and fail; if the path is
   viable, but no longer desired, the validation will succeed, but only
   results in probing packets being sent on the path.",,FALSE,,,,,,,,
9.4.  Loss Detection and Congestion Control,,,,,,,,,,
"   The capacity available on the new path might not be the same as the
   old path.  Packets sent on the old path MUST NOT contribute to
   congestion control or RTT estimation for the new path.",,FALSE,,,,,,,,
" On confirming a peer's ownership of its new address, an endpoint MUST
   immediately reset the congestion controller and round-trip time
   estimator for the new path to initial values (see Sections A.3 and
   B.3 in [QUIC-RECOVERY]) unless it has knowledge that a previous send
   rate or round-trip time estimate is valid for the new path.",,FALSE,,,,,,,,
"   A sender can make exceptions for probe packets so that their loss
   detection is independent and does not unduly cause the congestion
   controller to reduce its sending rate.  An endpoint might set a
   separate timer when a PATH_CHALLENGE is sent, which is cancelled if
   the corresponding PATH_RESPONSE is received.  If the timer fires
   before the PATH_RESPONSE is received, the endpoint might send a new
   PATH_CHALLENGE, and restart the timer for a longer period of time.
   This timer SHOULD be set as described in Section 5.3 of
   [QUIC-RECOVERY] and MUST NOT be more aggressive.","""not be more aggresive ?""",FALSE,,,,,,,,
9.5.  Privacy Implications of Connection Migration,,,,,,,,,,
"An endpoint MUST NOT reuse a connection ID when sending from more
   than one local address, for example when initiating connection
   migration as described in Section 9.2 or when probing a new network
   path as described in Section 9.1.",,FALSE,,,,,,,,
"   Similarly, an endpoint MUST NOT reuse a connection ID when sending to
   more than one destination address.  Due to network changes outside
   the control of its peer, an endpoint might receive packets from a new
   source address with the same destination connection ID, in which case
   it MAY continue to use the current connection ID with the new remote
   address while still sending from the same local address.
",,FALSE,,,,,,,,
9.6.1.  Communicating a Preferred Address,,,,,,,,,,
"   If path validation succeeds, the client SHOULD immediately begin
   sending all future packets to the new server address using the new
   connection ID and discontinue use of the old server address.  If path
   validation fails, the client MUST continue sending all future packets
   to the server's original IP address.",How to be sure it is because of that that he stopped sending packets ?,FALSE,,,,,,,,
9.6.2.  Responding to Connection Migration,,,,,,,,,,
"A server might receive a packet addressed to its preferred IP address
   at any time after it accepts a connection.  If this packet contains a
   PATH_CHALLENGE frame, the server sends a PATH_RESPONSE frame as per
   Section 8.2.  The server MUST send other non-probing frames from its
   original address until it receives a non-probing packet from the
   client at its preferred address and until the server has validated
   the new path.",,FALSE,,,,,,,,
"   The server MUST probe on the path toward the client from its
   preferred address.  This helps to guard against spurious migration
   initiated by an attacker.",,FALSE,,,,,,,,
"   The addresses that a server provides in the preferred_address
   transport parameter are only valid for the connection in which they
   are provided.  A client MUST NOT use these for other connections,
   including connections that are resumed from the current connection.",,FALSE,,,,,,,,
9.6.3.  Interaction of Client Migration and Preferred Address,,,,,,,,,,
"  If path validation of the server's preferred address succeeds, the
   client MUST abandon validation of the original address and migrate to
   using the server's preferred address.",Need to do a new scenario,FALSE,,,,,,,,
"   If the connection to the server's preferred address is not from the
   same client address, the server MUST protect against potential
   attacks as described in Section 9.3.1 and Section 9.3.2.  In addition
   to intentional simultaneous migration, this might also occur because
   the client's access network used a different NAT binding for the
   server's preferred address.",,FALSE,,,,,,,,
" Servers SHOULD initiate path validation to the client's new address
   upon receiving a probe packet from a different address.  Servers MUST
   NOT send more than a minimum congestion window's worth of non-probing
   packets to the new address before path validation is complete.",,FALSE,,,,,,,,
9.7.  Use of IPv6 Flow-Label and Migration,,,,,,,,,,
"   The IPv6 flow label SHOULD be a pseudo-random function of the source
   and destination addresses, source and destination UDP ports, and the
   destination CID.  The flow label generation MUST be designed to
   minimize the chances of linkability with a previously used flow
   label, as this would enable correlating activity on multiple paths;
   see Section 9.5.",,FALSE,,,,,,,,
10.1.  Closing and Draining Connection States,,,,,,,,,,
" An endpoint enters a closing period after initiating an immediate
   close; Section 10.3.  While closing, an endpoint MUST NOT send
   packets unless they contain a CONNECTION_CLOSE frame; see
   Section 10.3 for details.",Closing and draining state not implemented,FALSE,,,,,,,,
"  The draining state is entered once an endpoint receives a signal that
   its peer is closing or draining.  While otherwise identical to the
   closing state, an endpoint in the draining state MUST NOT send any
   packets.  Retaining packet protection keys is unnecessary once a
   connection is in the draining state.",,FALSE,,,,,,,,
"   While in the closing period, an endpoint could receive packets from a
   new source address, indicating a connection migration; Section 9.  An
   endpoint in the closing state MUST strictly limit the number of
   packets it sends to this new address until the address is validated;
   see Section 8.2",,FALSE,,,,,,,,
10.3.  Immediate Close,,,,,,,,,,
"   An endpoint is allowed to drop the packet protection keys when
   entering the closing period (Section 10.1) and send a packet
   containing a CONNECTION_CLOSE in response to any UDP datagram that is
   received.  However, an endpoint without the packet protection keys
   cannot identify and discard invalid packets.  To avoid creating an
   unwitting amplification attack, such endpoints MUST reduce the
   frequency with which it sends packets containing a CONNECTION_CLOSE
   frame.  To minimize the state that an endpoint maintains for a
   closing connection, endpoints MAY send the exact same packet.",Reduce frequency,FALSE,,,,,,,,
"   New packets from unverified addresses could be used to create an
   amplification attack; see Section 8.  To avoid this, endpoints MUST
   either limit transmission of CONNECTION_CLOSE frames to validated
   addresses or drop packets without response if the response would be
   more than three times larger than the received packet.",,FALSE,,,,,,,,
"   After receiving a CONNECTION_CLOSE frame, endpoints enter the
   draining state.  An endpoint that receives a CONNECTION_CLOSE frame
   MAY send a single packet containing a CONNECTION_CLOSE frame before
   entering the draining state, using a CONNECTION_CLOSE frame and a
   NO_ERROR code if appropriate.  An endpoint MUST NOT send further
   packets, which could result in a constant exchange of
   CONNECTION_CLOSE frames until the closing period on either peer
   ended.",,FALSE,,,,,,,,
10.3.1.  Immediate Close During the Handshake,,,,,,,,,,
"  When sending CONNECTION_CLOSE, the goal is to ensure that the peer
   will process the frame.  Generally, this means sending the frame in a
   packet with the highest level of packet protection to avoid the
   packet being discarded.  After the handshake is confirmed (see
   Section 4.1.2 of [QUIC-TLS]), an endpoint MUST send any
   CONNECTION_CLOSE frames in a 1-RTT packet.  However, prior to
   confirming the handshake, it is possible that more advanced packet
   protection keys are not available to the peer, so another
   CONNECTION_CLOSE frame MAY be sent in a packet that uses a lower
   packet protection level.  More specifically:",,FALSE,,,,,,,,
"   Sending a CONNECTION_CLOSE of type 0x1d in an Initial or Handshake
   packet could expose application state or be used to alter application
   state.  A CONNECTION_CLOSE of type 0x1d MUST be replaced by a
   CONNECTION_CLOSE of type 0x1c when sending the frame in Initial or
   Handshake packets.  Otherwise, information about the application
   state might be revealed.  Endpoints MUST clear the value of the
   Reason Phrase field and SHOULD use the APPLICATION_ERROR code when
   converting to a CONNECTION_CLOSE of type 0x1c.",Error not implemented but rest is ok ,FALSE,,,,,,,,
10.4.  Stateless Reset,,,,,,,,,,
"  A stateless reset is not appropriate for signaling error conditions.
   An endpoint that wishes to communicate a fatal connection error MUST
   use a CONNECTION_CLOSE frame if it has sufficient state to do so.",,FALSE,,,,,,,,
"
   An endpoint MUST NOT send a stateless reset that is three times or
   more larger than the packet it receives to avoid being used for
   amplification.  Section 10.4.3 describes additional limits on
   stateless reset size.",,FALSE,,,,,,,,
" Endpoints MUST discard packets that are too small to be valid QUIC
   packets.  With the set of AEAD functions defined in [QUIC-TLS],
   packets that are smaller than 21 bytes are never valid.",,FALSE,,,,,,,,
"  Endpoints MUST send stateless reset packets formatted as a packet
   with a short header",,FALSE,,,,,,,,
"However, endpoints MUST treat any packet ending
   in a valid stateless reset token as a stateless reset, as other QUIC
   versions might allow the use of a long header.",,FALSE,,,,,,,,
10.4.1.  Detecting a Stateless Reset,,,,,,,,,,
"  This comparison can be performed for every inbound datagram.
   Endpoints MAY skip this check if any packet from a datagram is
   successfully processed.  However, the comparison MUST be performed
   when the first packet in an incoming datagram either cannot be
   associated with a connection, or cannot be decrypted.",,FALSE,,,,,,,,
"  An endpoint MUST NOT check for any Stateless Reset Tokens associated
   with connection IDs it has not used or for connection IDs that have
   been retired.",,FALSE,,,,,,,,
" When comparing a datagram to Stateless Reset Token values, endpoints
   MUST perform the comparison without leaking information about the
   value of the token.  For example, performing this comparison in
   constant time protects the value of individual Stateless Reset Tokens
   from information leakage through timing side channels.",,FALSE,,,,,,,,
"   If the last 16 bytes of the datagram are identical in value to a
   Stateless Reset Token, the endpoint MUST enter the draining period
   and not send any further packets on this connection.",,FALSE,,,,,,,,
10.4.2.  Calculating a Stateless Reset Token,,,,,,,,,,
"The stateless reset token MUST be difficult to guess.  In order to
   create a Stateless Reset Token, an endpoint could randomly generate
   [RFC4086] a secret for every connection that it creates.  However,
   this presents a coordination problem when there are multiple
   instances in a cluster or a storage problem for an endpoint that
   might lose state.  Stateless reset specifically exists to handle the
   case where state is lost, so this approach is suboptimal.",stateless reset token not done,FALSE,,,,,,,,
"This design relies on the peer always sending a connection ID in its
   packets so that the endpoint can use the connection ID from a packet
   to reset the connection.  An endpoint that uses this design MUST   
   either use the same connection ID length for all connections or
   encode the length of the connection ID such that it can be recovered
   without state.  In addition, it cannot provide a zero-length
   connection ID.",,FALSE,,,,,,,,
"  Revealing the Stateless Reset Token allows any entity to terminate
   the connection, so a value can only be used once.  This method for
   choosing the Stateless Reset Token means that the combination of
   connection ID and static key MUST NOT be used for another connection.",,FALSE,,,,,,,,
" A connection ID from a connection
   that is reset by revealing the Stateless Reset Token MUST NOT be
   reused for new connections at nodes that share a static key.",,FALSE,,,,,,,,
" The same Stateless Reset Token MUST NOT be used for multiple
   connection IDs.  Endpoints are not required to compare new values
   against all previous values, but a duplicate value MAY be treated as
   a connection error of type PROTOCOL_VIOLATION.",,FALSE,,,,,,,,
10.4.3.  Looping,,,,,,,,,,
"   An endpoint MUST ensure that every Stateless Reset that it sends is
   smaller than the packet which triggered it, unless it maintains state
   sufficient to prevent looping.  In the event of a loop, this results
   in packets eventually being too small to trigger a response.",stateless reset not doe,FALSE,,,,,,,,
11.  Error Handling,,,,,,,,,,
"  A stateless reset (Section 10.4) is not suitable for any error that
   can be signaled with a CONNECTION_CLOSE or RESET_STREAM frame.  A
   stateless reset MUST NOT be used by an endpoint that has the state
   necessary to send a frame on the connection.",,FALSE,,,,,,,,
11.1.  Connection Errors,,,,,,,,,,
"   Errors that result in the connection being unusable, such as an
   obvious violation of protocol semantics or corruption of state that
   affects an entire connection, MUST be signaled using a
   CONNECTION_CLOSE frame (Section 19.19).  An endpoint MAY close the
   connection in this manner even if the error only affects a single
   stream.",Not all cases handled,FALSE,,,,,,,,
11.2.  Stream Errors,,,,,,,,,,
"   Resetting a stream without the involvement of the application
   protocol could cause the application protocol to enter an
   unrecoverable state.  RESET_STREAM MUST only be instigated by the
   application protocol that uses QUIC.",,FALSE,,,,,,,,
12.2.  Coalescing Packets,,,,,,,,,,
"  Using the Length field, a sender can coalesce multiple QUIC packets
   into one UDP datagram.  This can reduce the number of UDP datagrams
   needed to complete the cryptographic handshake and start sending
   data.  This can also be used to construct PMTU probes; see
   Section 14.3.1.  Receivers MUST be able to process coalesced packets.",Coalescing not done,FALSE,,,,,,,,
"   Senders MUST NOT coalesce QUIC packets for different connections into
   a single UDP datagram.  Receivers SHOULD ignore any subsequent
   packets with a different Destination Connection ID than the first
   packet in the datagram.",,FALSE,,,,,,,,
"   Every QUIC packet that is coalesced into a single UDP datagram is
   separate and complete.  The receiver of coalesced QUIC packets MUST
   individually process each QUIC packet and separately acknowledge
   them, as if they were received as the payload of different UDP
   datagrams.",,FALSE,,,,,,,,
"For example, if decryption fails (because the keys are
   not available or any other reason), the receiver MAY either discard
   or buffer the packet for later processing and MUST attempt to process
   the remaining packets.",,FALSE,,,,,,,,
12.3.  Packet Numbers,,,,,,,,,,
"  This enforces cryptographic separation between the data sent in the
   different packet sequence number spaces.  Packet numbers in each
   space start at packet number 0.  Subsequent packets sent in the same
   packet number space MUST increase the packet number by at least one.",,FALSE,,,,,,,,
" A QUIC endpoint MUST NOT reuse a packet number within the same packet
   number space in one connection.",,FALSE,,,,,,,,
"If the packet number for sending
   reaches 2^62 - 1, the sender MUST close the connection without
   sending a CONNECTION_CLOSE frame or any further packets; an endpoint
   MAY send a Stateless Reset (Section 10.4) in response to further
   packets that it receives.",Valeur du long serait dépassé,FALSE,,,,,,,,
" A receiver MUST discard a newly unprotected packet unless it is
   certain that it has not processed another packet with the same packet
   number from the same packet number space",,FALSE,,,,,,,,
"Duplicate suppression MUST
   happen after removing packet protection for the reasons described in
   Section 9.3 of [QUIC-TLS].  An efficient algorithm for duplicate
   suppression can be found in Section 3.4.3 of [RFC4303].",,FALSE,,,,,,,,
12.4.  Frames and Frame Types,,,,,,,,,,
"  The payload of a packet that contains frames MUST contain at least
   one frame, and MAY contain multiple frames and multiple frame types.
   Frames always fit within a single QUIC packet and cannot span
   multiple packets.",,FALSE,,,,,,,,
"   An endpoint MUST treat the receipt of a frame of unknown type as a
   connection error of type FRAME_ENCODING_ERROR.",,FALSE,,,,,,,,
"   The Frame Type field uses a variable length integer encoding (see
   Section 16) with one exception.  To ensure simple and efficient
   implementations of frame parsing, a frame type MUST use the shortest
   possible encoding.",in parsing,FALSE,,,,,,,,
Packet Processing,,,,,,,,,,
"   A packet MUST NOT be acknowledged until packet protection has been
   successfully removed and all frames contained in the packet have been
   processed. For STREAM frames, this means the data has been enqueued
   in preparation to be received by the application protocol, but it
   does not require that data is delivered and consumed. (13.1.)",,FALSE,,,,,,,,
"   Every packet SHOULD be acknowledged at least once, and ack-eliciting
   packets MUST be acknowledged at least once within the maximum delay
   an endpoint communicated using the max_ack_delay transport parameter;
  (13.2.1.)","acked_pkt(C,L,N)",TRUE,,,,,,,,
"   An endpoint MUST acknowledge all ack-eliciting Initial and Handshake
   packets immediately and all ack-eliciting 0-RTT and 1-RTT packets
   within its advertised max_ack_delay, with the following exception.
   Prior to handshake confirmation, an endpoint might not have packet
   protection keys for decrypting Handshake, 0-RTT, or 1-RTT packets
   when they are received.  It might therefore buffer them and
   acknowledge them when the requisite keys become available.",,FALSE,,,,,,,,
"   Since packets containing only ACK frames are not congestion
   controlled, an endpoint MUST NOT send more than one such packet in
   response to receiving an ack-eliciting packet.",,FALSE,,,,,,,,
"   An endpoint MUST NOT send a non-ack-eliciting packet in response to a
   non-ack-eliciting packet, even if there are packet gaps that precede
   the received packet.  This avoids an infinite feedback loop of
   acknowledgements, which could prevent the connection from ever
   becoming idle.  Non-ack-eliciting packets are eventually acknowledged
   when the endpoint sends an ACK frame in response to other events.","Do we interpret this to mean that an ack-only packet
    cannot ack *only* ack-only packets?  Or that an ack-only
   packet cannot ack *any* ack-only packets?",FALSE,,,,,,,,
"   A receiver MUST NOT send an ack-eliciting frame in all packets that
   would otherwise be non-ack-eliciting, to avoid an infinite feedback
   loop of acknowledgements.",,FALSE,,,,,,,,
"   A receiver MUST retain an ACK Range unless it can ensure that it will
   not subsequently accept packets with numbers in that range.
   Maintaining a minimum packet number that increases as ranges are
   discarded is one way to achieve this with minimal state. (13.2.3)",,FALSE,,,,,,,,
"   Receivers can discard all ACK Ranges, but they MUST retain the
   largest packet number that has been successfully processed as that is
   used to recover packet numbers from subsequent packets;",,FALSE,,,,,,,,
"   An endpoint MUST NOT include delays that it (13.2.5)
   does not control when populating the ACK Delay field in an ACK frame. ",,FALSE,,,,,,,,
"   ACK frames MUST only be carried in a packet that has the same packet
   number space as the packet being acknowledged; (13.2.6)",,FALSE,,,,,,,,
"   For instance, packets that are protected with 1-RTT keys MUST be
   acknowledged in packets that are also protected with 1-RTT keys.",,FALSE,,,,,,,,
"   Packets that a client sends with 0-RTT packet protection MUST be
   acknowledged by the server in packets protected by 1-RTT keys. ",,FALSE,,,,,,,,
"   The content of a RESET_STREAM frame MUST NOT change when it is
   sent again. (13.3)","restransmission or 
next reset_stream in general ?",FALSE,,,,,,,,
"   The HANDSHAKE_DONE frame MUST be retransmitted until it is
   acknowledged.",,FALSE,,,,,,,,
"   A receiver MUST accept packets containing an
   outdated frame, such as a MAX_DATA frame carrying a smaller maximum
   data than one found in an older packet.","We create a test where we send
packet only with max_data with random value
we should be ack for all packet if good ?",FALSE,,,,,,,,
"   Upon detecting losses, a sender MUST take appropriate congestion
   control action.  The details of loss detection and congestion control
   are described in [QUIC-RECOVERY].",,FALSE,,,,,,,,
"   Even if an endpoint does not set an ECT field on packets it sends,
   the endpoint MUST provide feedback about ECN markings it receives, if
   these are accessible.  Failing to report the ECN counts will cause
   the sender to disable use of ECN for this connection. (13.4.1)",,FALSE,,,,,,,,
"   Validating ECN counts from reordered ACK frames can result in
   failure.  An endpoint MUST NOT fail ECN validation as a result of
   processing an ACK frame that does not increase the largest
   acknowledged packet number. (13.4.2.1)",,FALSE,,,,,,,,
"   If validation fails, then the endpoint MUST disable ECN.  It stops
   setting the ECT codepoint in IP packets that it sends, assuming that
   either the network path or the peer does not support ECN. (13.4.2.2)",,FALSE,,,,,,,,
"   Upon successful validation, an endpoint MAY continue to set an ECT
   codepoint in subsequent packets it sends, with the expectation that
   the path is ECN-capable.  Network routing and path elements can
   however change mid-connection; an endpoint MUST disable ECN if
   validation later fails.",,FALSE,,,,,,,,
,,,,,,,,,,
Packet Size,,,,,,,,,,
"   UDP datagrams MUST NOT be fragmented at the IP layer.  In IPv4
   ([IPv4]), the DF bit MUST be set if possible, to prevent
   fragmentation on the path. (14.)",,FALSE,,,,,,,,
"   A client MUST expand the payload of all UDP datagrams carrying
   Initial packets to at least the smallest allowed maximum packet size
   (1200 bytes) by adding PADDING frames to the Initial packet or by
   coalescing the Initial packet; (14.1)",,FALSE,,,,,,,,
"   A server MUST discard an Initial packet that is carried in a UDP
   datagram with a payload that is less than the smallest allowed
   maximum packet size of 1200 bytes.",,FALSE,,,,,,,,
"   The server MUST also limit the number of bytes it sends before
   validating the address of the client;",,FALSE,,,,,,,,
"   If a QUIC endpoint determines that the PMTU between any pair of local
   and remote IP addresses has fallen below the smallest allowed maximum
   packet size of 1200 bytes, it MUST immediately cease sending QUIC
   packets, except for those in PMTU probes or those containing
   CONNECTION_CLOSE frames, on the affected path. (14.2)",no possible to test directly by design of the serializer,FALSE,,,,,,,,
"   An endpoint MUST ignore an ICMP message that claims the PMTU has
   decreased below the minimum QUIC packet size. (14.2.1)",,FALSE,,,,,,,,
"   ICMP message validation MUST include matching IP addresses and UDP
   ports ([RFC8085]) and, when possible, connection IDs to an active
   QUIC session.  The endpoint SHOULD ignore all ICMP messages that fail
   validation. ",,FALSE,,,,,,,,
"   An endpoint MUST NOT increase PMTU based on ICMP messages; see
   Section 3, clause 6 of [DPLPMTUD].",,FALSE,,,,,,,,
,,,,,,,,,,
Packet Number Encoding and Decoding,,,,,,,,,,
"   Prior to receiving an acknowledgement for a packet number space, the
   full packet number MUST be included; it is not to be truncated as
   described below. (17.1)",,FALSE,,,,,,,,
"   After an acknowledgement is received for a packet number space, the
   sender MUST use a packet number size able to represent more than
   twice as large a range than the difference between the largest
   acknowledged packet and packet number being sent.  A peer receiving
   the packet will then correctly decode the packet number, unless the
   packet is delayed in transit such that it arrives after many higher-
   numbered packets have been received.  ",,FALSE,,,,,,,,
Long Header Packets,,FALSE,,,,,,,,
"   Fixed Bit:  The next bit (0x40) of byte 0 is set to 1.  Packets
      containing a zero value for this bit are not valid packets in this
      version and MUST be discarded. (17.2)",,FALSE,,,,,,,,
"   Destination Connection ID Length:  The byte following the version
      contains the length in bytes of the Destination Connection ID
      field that follows it.  This length is encoded as an 8-bit
      unsigned integer.  In QUIC version 1, this value MUST NOT exceed
      20.  Endpoints that receive a version 1 long header with a value
      larger than 20 MUST drop the packet.  ",,FALSE,,,,,,,,
"   Source Connection ID Length:  The byte following the Destination
      Connection ID contains the length in bytes of the Source
      Connection ID field that follows it.  This length is encoded as a
      8-bit unsigned integer.  In QUIC version 1, this value MUST NOT
      exceed 20 bytes.  Endpoints that receive a version 1 long header
      with a value larger than 20 MUST drop the packet. ",,FALSE,,,,,,,,
"  Reserved Bits:  Two bits (those with a mask of 0x0c) of byte 0 are
      reserved across multiple packet types.  These bits are protected
      using header protection; see Section 5.4 of [QUIC-TLS].  The value
      included prior to protection MUST be set to 0.  An endpoint MUST
      treat receipt of a packet that has a non-zero value for these bits
      after removing both packet and header protection as a connection
      error of type PROTOCOL_VIOLATION.  Discarding such a packet after
      only removing header protection can expose the endpoint to
      attacks; see Section 9.3 of [QUIC-TLS].",,FALSE,,,,,,,,
Version Negotiation Packet,,,,,,,,,,
"   The value in the Unused field is selected randomly by the server.
   Clients MUST ignore the value of this field.  Servers SHOULD set the
   most significant bit of this field (0x40) to 1 so that Version
   Negotiation packets appear to have the Fixed Bit field.",,FALSE,,,,,,,,
"   The Version field of a Version Negotiation packet MUST be set to
   0x00000000.",,FALSE,,,,,,,,
"   The server MUST include the value from the Source Connection ID field
   of the packet it receives in the Destination Connection ID field.
   The value for Source Connection ID MUST be copied from the
   Destination Connection ID of the received packet, which is initially
   randomly selected by a client.  Echoing both connection IDs gives
   clients some assurance that the server received the packet and that
   the Version Negotiation packet was not generated by an off-path
   attacker.",,FALSE,,,,,,,,
"   A server MUST NOT send more than one Version Negotiation packet in
   response to a single UDP datagram.",,FALSE,,,,,,,,
Initial Packet,,,,,,,,,,
"   Token Length:  A variable-length integer specifying the length of the
      Token field, in bytes.  This value is zero if no token is present.
      Initial packets sent by the server MUST set the Token Length field
      to zero; clients that receive an Initial packet with a non-zero
      Token Length field MUST either discard the packet or generate a
      connection error of type PROTOCOL_VIOLATION.",,FALSE,,,,,,,,
0-RTT,,,,,,,,,,
"   After a client receives a Retry packet, 0-RTT packets are likely to
   have been lost or discarded by the server.  A client SHOULD attempt
   to resend data in 0-RTT packets after it sends a new Initial packet.
   New packet numbers MUST be used for any new packets that are sent; as
   described in Section 17.2.5.3, reusing packet numbers could
   compromise packet protection",,FALSE,,,,,,,,
"   A client MUST NOT send 0-RTT packets once it starts processing 1-RTT
   packets from the server.  This means that 0-RTT packets cannot
   contain any response to frames from 1-RTT packets.  For instance, a
   client cannot send an ACK frame in a 0-RTT packet, because that can
   only acknowledge a 1-RTT packet.  An acknowledgment for a 1-RTT
   packet MUST be carried in a 1-RTT packet.",,FALSE,,,,,,,,
Handshake Packet,,,,,,,,,,
"   The payload of this packet contains CRYPTO frames and could contain
   PING, PADDING, or ACK frames.  Handshake packets MAY contain
   CONNECTION_CLOSE frames of type 0x1c.  Endpoints MUST treat receipt
   of Handshake packets with other frames as a connection error.",,FALSE,,,,,,,,
Retry Packet,,,,,,,,,,
"   A Retry packet (shown in Figure 18) does not contain any protected
   fields.  The value in the Unused field is set to an arbitrary value
   by the server; a client MUST ignore these bits. ",not done,FALSE,,,,,,,,
"   The server includes a connection ID of its choice in the Source
   Connection ID field.  This value MUST NOT be equal to the Destination
   Connection ID field of the packet sent by the client.  A client MUST
   discard a Retry packet that contains a Source Connection ID field
   that is identical to the Destination Connection ID field of its
   Initial packet.  The client MUST use the value from the Source
   Connection ID field of the Retry packet in the Destination Connection
   ID field of subsequent packets that it sends.",,FALSE,,,,,,,,
"   A server MAY send Retry packets in response to Initial and 0-RTT
   packets.  A server can either discard or buffer 0-RTT packets that it
   receives.  A server can send multiple Retry packets as it receives
   Initial or 0-RTT packets.  A server MUST NOT send more than one Retry
   packet in response to a single UDP datagram.",,FALSE,,,,,,,,
"   A client MUST accept and process at most one Retry packet for each
   connection attempt.  After the client has received and processed an
   Initial or Retry packet from the server, it MUST discard any
   subsequent Retry packets that it receives.",,FALSE,,,,,,,,
